,text_final
36,"['studio', 'site', 'org']"
37,"['example', 'python', 'pseudocode', 'get', 'start', 'assignment', 'helper']"
38,"['sprint', 'feedback']"
39,"['start', 'project', 'design', 'user', 'interface', 'ui']"
40,"['meet', 'team', 'decide', 'need', 'microservices']"
41,"['meet', 'discuss', 'need', 'microservice']"
42,"['meet', 'team', 'decide', 'need', 'microservices']"
43,"['two', 'code', 'smell', 'correct', 'use', 'appropriate', 'refactoring', 'technique']"
44,"['identify', 'pat']"
45,"['email', 'address', 'team', 'signup', 'form', 'submission']"
46,"['computer', 'art', 'time', 'consume', 'something', 'like']"
47,"['code', 'smell', 'refactoring']"
48,"['interview', 'focus', 'item', 'problem', 'activity', 'people', 'part', 'strongly', 'space', 'less', 'observation', 'need', 'rich', 'detail', 'interview', 'item', 'except', 'item', 'people', 'part']"
49,"['use', 'rubric']"
50,"['attitude', 'toward', 'risk', 'risk', 'averse']"
51,"['stakeholders', 'exactly']"
52,"['mv', 'p', 'post', 'assignment', 'minimum', 'viable', 'product', 'mvp', 'request', 'feedback', 'team', 'post', 'say', 'mvp', 'one', 'aspect', 'like', 'one', 'suggestion', 'question', 'answer', 'need', 'give', 'teammate', 'feedback', 'yes']"
53,"['please', 'one', 'person', 'group', 'submit', 'assignment']"
54,"['bring', 'printout', 'prototype', 'persona', 'class', 'spread', 'room', 'last', 'design', 'gallery', 'year']"
55,"['home', 'announcement', 'modules', 'syllabus', 'assignment', 'files', 'discussion', 'people', 'name', 'coach', 'grade', 'academic', 'support', 'student', 'resource', 'rubric', 'page', 'quiz', 'collaboration', 'outcome', 'add', 'ta']"
56,"['already', 'team', 'one', 'person', 'team', 'need', 'submit', 'registration', 'form']"
57,"['tip', 'one', 'first', 'organizational', 'introspection', 'xxxxx', 'question', 'try', 'answer', 'company', 'new', 'persona']"
58,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
59,"['fidelity', 'level', 'like']"
60,"['describe', 'task', 'use', 'project', 'system', 'would', 'ask', 'user', 'perform', 'shadowing']"
61,"['turn', 'follow']"
62,"['rubber', 'duck', 'debug']"
63,"['grader', 'convince', 'individual', 'project', 'use', 'teammate', 'service']"
64,"['still', 'walk', 'screen', 'transition', 'arrow', 'click', 'right', 'thing']"
65,"['think', 'app', 'would', 'call', 'ethical', 'eating', 'feel', 'free', 'come', 'good', 'name', 'please', 'reach', 'question', 'need', 'help', 'see', 'around']"
66,"['sketch', 'diagram', 'showing']"
67,"['approximately', 'none', 'work', 'sign']"
68,"['promise', 'resource', 'income', 'race', 'class']"
69,"['find', 'section']"
70,"['welcome', 'add', 'additional', 'feature', 'long', 'five', 'include']"
71,"['show', 'team', 'give', 'feedback', 'part', 'late', 'assignment', 'instruction', 'step', 'download', 'complete', 'assignment', 'available', 'format', 'google', 'doc']"
72,"['see', 'end', 'look', 'like', 'ball', 'middle']"
73,"['describe', 'task', 'use', 'system', 'project', 'would', 'ask', 'user', 'perform', 'observation']"
74,"['point', 'observation', 'cover', 'people', 'environment', 'list', 'assignment', 'description', 'write', 'good', 'amount', 'detail', 'felt', 'like', 'could', 'picture', 'observation', 'interview']"
75,"['state', 'product', 'goal', 'grader', 'understand', 'mean']"
76,"['note', 'complete', 'lot', 'option', 'one', 'use', 'case', 'optional', 'path', 'use', 'case', 'leave', 'stubs', 'inactive', 'non', 'clickable']"
77,['pt']
78,"['previous', 'beta', 'learn', 'activity', 'invest']"
79,"['post', 'last', 'update']"
80,"['example', 'look', 'book', 'fantasy', 'fairy', 'ride', 'squirrel', 'think', 'would', 'implement', 'user', 'look', 'book', 'available', 'request', 'see', 'many', 'copy', 'available', 'look', 'harry', 'potter', 'book', 'see', 'copy', 'available', 'different', 'condition', 'copy', 'available']"
81,"['recommend', 'post', 'draft', 'early', 'respond', 'others', 'early', 'encourage', 'others']"
82,"['help', 'create', 'architecture', 'diagram', 'project', 'evaluate', 'revise', 'diagram', 'use', 'oo', 'design', 'principle', 'help', 'plan', 'extensibility', 'maintainability']"
83,"['sprint', 'plan', 'subtasks']"
84,"['provide', 'feedback', 'team', 'microservice']"
85,"['enough', 'detail']"
86,"['send', 'finished', 'report', 'pdf', 'word']"
87,['rubric']
88,"['skip', 'content']"
89,"['sprint', 'retrospective']"
90,"['communication', 'contract', 'approval', 'rubric']"
91,"['user', 'make', 'account', 'able', 'save', 'ethical', 'meal', 'recipe', 'book', 'late', 'viewing']"
92,"['sprint', 'plan', 'sprint', 'goal']"
93,"['team', 'create', 'sprint', 'plan', 'start', 'coding', 'end', 'sprint', 'sprint', 'retrospective', 'git', 'hub', 'create', 'demo', 'video', 'client', 'along', 'way', 'team', 'update', 'sprint', 'design', 'ui', 'base', 'sprint', 'heuristic', 'evaluation', 'people', 'outside', 'team', 'update', 'ui', 'design']"
94,"['list', 'system', 'quality', 'attribute']"
95,"['sprint', 'plan', 'subtasks']"
96,[]
97,"['meet', 'team', 'decide', 'need', 'microservices']"
98,"['make', 'sure', 'user', 'c', 'background']"
99,"['work', 'together', 'divide', 'conquer']"
100,"['structure', 'meeting', 'need']"
101,"['use', 'rubric', 'assignment', 'grading']"
102,"['create', 'area', 'user', 'post', 'request', 'book', 'ca', 'remember', 'name', 'want', 'ask', 'suggestion']"
103,"['video', 'show', 'mvp', 'reflect', 'csh']"
104,"['report', 'non', 'verbal', 'detail']"
105,"['describe', 'prototype', 'sketch', 'use', 'case', 'scenario', 'project', 'prototype', 'support', 'description', 'might', 'need', 'understand', 'sketch', 'context', 'eg', 'paragraph']"
106,"['remember', 'everyone', 'need', 'use', 'teammate', 'microservice', 'individual', 'project', 'microservice', 'need', 'use', 'teammate']"
107,"['also', 'must', 'turn', 'actual', 'runnable', 'figma', 'prototype', 'run']"
108,"['previous', 'assignment', 'determine', 'facet', 'personality', 'scope', 'diversity', 'dimension', 'thing', 'missing', 'analytical', 'process', 'use', 'put', 'together', 'fill', 'gap', 'indicate', 'following', 'analytical', 'process', 'use', 'x', 'mag', 'derive', 'inclusive', 'mag', 'version', 'cognitive', 'walkthrough', 'cw', 'one', 'experience', 'gender', 'mag', 'version', 'heuristic', 'evaluation']"
109,"['tell', 'u', 'select', 'population']"
110,"['ethical', 'interpretation', 'could', 'include', 'consideration', 'environmental', 'impact', 'animal', 'welfare', 'worker', 'right', 'problematic', 'corporate', 'tie', 'specific', 'consideration', 'include', 'app', 'group', 'want', 'good', 'person', 'know']"
111,"['overview', 'scrum', 'sprint', 'retrospective', 'happens', 'end', 'sprint']"
112,"['previous', 'sprint', 'team', 'meeting']"
113,"['skip', 'content']"
114,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
115,"['attach', 'detailed', 'observation', 'verbal', 'interview', 'response', 'separate', 'pdf', 'annex']"
116,"['readable', 'list', 'factoid', 'include', 'source', 'unless', 'list', 'already', 'completely', 'readable', 'affinity', 'diagram']"
117,"['post', 'question', 'teammate', 'providing', 'microservice', 'post', 'none']"
118,"['overview', 'implement', 'microservice', 'share', 'video', 'teammate', 'show', 'work']"
119,"['discuss', 'sprint', 'go', 'term', 'communication']"
120,[]
121,"['information', 'processing', 'style', 'closely', 'manage', 'time', 'try', 'increase', 'efficiency']"
122,"['multiple', 'acceptance', 'criterion', 'satisfied']"
123,"['paper', 'prototype', 'clear', 'neat', 'high', 'resolution', 'enough', 'grader', 'understand']"
124,"['strongly', 'encourage', 'observe', 'interview']"
125,"['criterion', 'link', 'learning', 'outcome']"
126,"['everyone', 'must', 'contribute', 'retrospective']"
127,"['want', 'update', 'improve', 'due', 'date', 'also', 'upload']"
128,"['b', 'use', 'case', 'general', 'audience', 'transform', 'sentence', 'paragraph', 'example', 'main', 'character', 'front', 'seat', 'think', 'car', 'cold', 'maybe', 'daughter', 'back', 'seat', 'turn', 'ac', 'low', 'cold', 'draft', 'blow', 'whatever', 'ui']"
129,['pt']
130,"['depend', 'availability', 'participant', 'also', 'consider', 'interview', 'zoom', 'screen', 'share', 'video']"
131,"['publish', 'one', 'following', 'link', 'git', 'hub', 'repository', 'contain', 'microservice', 'code', 'link', 'git', 'hub', 'repository', 'contain', 'custom', 'project', 'code', 'zip', 'file', 'contain', 'microservice', 'code', 'contains', 'zip', 'file', 'contain', 'custom', 'project', 'code']"
132,"['download', 'template', 'template']"
133,"['also', 'give', 'use', 'case', 'mainstreamer', 'would', 'use', 'software', 'hopefully', 'copy', 'installment', 'document']"
134,"['make', 'program', 'communicate', 'via', 'text', 'file', 'described']"
135,"['company', 'x', 'pretend', 'schedule', 'create', 'new', 'persona']"
136,"['need', 'include', 'quote', 'screenshot', 'teammate', 'format', 'show', 'respond']"
137,"['grader', 'convince', 'teammate', 'use', 'service', 'individual', 'project']"
138,"['upload', 'document', 'feedback', 'teammate', 'discussion', 'forum']"
139,"['description', 'criterion']"
140,"['studio', 'site', 'org']"
141,"['use', 'rubric', 'assignment', 'grading']"
142,['instruction']
143,"['end', 'minute', 'minute', 'available', 'qa', 'discussion', 'next', 'team', 'set']"
144,['oct']
145,"['people', 'syndrome']"
146,"['mvp', 'feedback', 'rubric']"
147,"['write', 'name', 'team', 'member']"
148,"['see', 'page']"
149,"['one', 'one', 'code', 'smell', 'correct', 'use', 'appropriate', 'refactoring', 'technique']"
150,"['q', 'hard', 'show', 'one', 'feature', 'without', 'show', 'rest', 'page']"
151,"['syllabus', 'quiz']"
152,"['sketch', 'feel', 'free', 'scan', 'instead', 'draw', 'computer']"
153,"['excellent', 'show', 'depth', 'knowledge', 'topic', 'cover', 'show', 'nuanced', 'appreciation', 'underserved', 'population', 'beyond', 'stereotype', 'relegate', 'one', 'dimensional', 'well', 'organize', 'presentation']"
154,"['post', 'complete', 'assignment']"
155,"['approach', 'proceed', 'answer', 'question', 'detail']"
156,"['upload', 'document', 'discussion', 'forum', 'comment', 'teammate']"
157,"['step', 'download', 'complete', 'assignment']"
158,"['someone', 'team', 'state', 'expectation', 'teammate', 'responsiveness']"
159,"['complete', 'custom', 'project', 'create', 'video', 'portfolio', 'create', 'reference', 'sheet', 'concept', 'learn', 'course']"
160,"['please', 'contact', 'question', 'need', 'help']"
161,"['team', 'create', 'sprint', 'plan', 'start', 'coding', 'end', 'sprint', 'git', 'hub', 'release', 'sprint', 'retrospective', 'create', 'demo', 'video', 'client', 'along', 'way', 'team', 'update', 'ui', 'design', 'base', 'sprint', 'heuristic', 'evaluation', 'people', 'outside', 'team', 'separate', 'assignment', 'update', 'ui', 'design']"
162,"['view', 'page']"
163,"['end', 'sprint', 'sprint', 'retrospective', 'git', 'hub', 'create', 'demo', 'video', 'client']"
164,"['marginalized', 'population']"
165,"['write', 'use', 'case', 'scenario', 'project', 'work', 'concept']"
166,"['paper', 'prototype', 'first', 'draft']"
167,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
168,"['adequate', 'c', 'get', 'job', 'do', 'one', 'item', 'reach', 'level', 'b']"
169,"['template', 'word']"
170,"['see', 'pp', 'end', 'look', 'like', 'bullet', 'middle', 'p']"
171,"['keep', 'mind', 'student', 'already', 'assess', 'use', 'rubric']"
172,"['foundation', 'include', 'reference']"
173,"['describe', 'task', 'use', 'project', 'system', 'would', 'ask', 'user', 'perform', 'shadowing']"
174,"['persona', 'skeleton', 'item', 'need', 'least', 'skeleton', 'mainstream', 'population']"
175,"['get', 'know', 'teammate']"
176,"['video', 'grader', 'access']"
177,"['end', 'monday', 'september']"
178,"['use', 'kind', 'thing', 'simple', 'short']"
179,"['area', 'use', 'assessor', 'leave', 'comment', 'relate', 'criterion']"
180,"['answer', 'following', 'team', 'communication', 'question', 'go', 'well', 'go', 'wrong', 'team', 'want', 'improve', 'sprint']"
181,"['access', 'follow', 'instruction']"
182,"['download', 'complete', 'assignment', 'template', 'send']"
183,"['txt', 'erase', 'write', 'pseudo', 'random']"
184,"['answer', 'three', 'question', 'since', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'anything', 'block', 'plan']"
185,"['post', 'mortem', 'question', 'answer', 'completely', 'vague']"
186,"['sprint', 'retrospective']"
187,"['think', 'app', 'would', 'call', 'ethical', 'eating', 'feel', 'free', 'come', 'good', 'name', 'please', 'reach', 'question', 'need', 'help', 'see', 'around']"
188,"['ui', 'design', 'contribution']"
189,"['start', 'proj', 'proj', 'complete', 'prototype']"
190,"['c', 'persona', 'skeleton', 'item', 'need', 'least', 'skeleton', 'mainstream', 'population']"
191,[]
192,"['project', 'final', 'installment']"
193,"['total', 'point']"
194,[]
195,"['post', 'anything', 'block', 'plan']"
196,"['need', 'include', 'quote', 'screenshot', 'teammate', 'show', 'respond']"
197,"['environment', 'home', 'share', 'area', 'like']"
198,['oct']
199,"['pick', 'three', 'favorite', 'project', 'team', 'decide', 'team']"
200,"['post', 'plan', 'next', 'status', 'update']"
201,"['second', 'feature', 'app', 'retrieve', 'nearby', 'hiking', 'trail', 'information', 'name', 'distance', 'difficult', 'level', 'easy', 'medium', 'hard', 'hiking', 'time', 'estimation', 'trailhead', 'location', 'display', 'list']"
202,"['instruction', 'implement', 'microservice', 'accord', 'plan']"
203,['nov']
204,"['book', 'go', 'worth', 'set', 'point', 'user', 'set', 'another', 'user', 'ask', 'swap', 'pay', 'amount', 'point']"
205,"['make', 'sure', 'user', 'c', 'background']"
206,"['provide', 'git', 'hub', 'link', 'make', 'sure', 'teammate', 'grader', 'able', 'access']"
207,"['concept', 'driven', 'early', 'prototype', 'inclusive', 'mag', 'derivative']"
208,"['check', 'mv', 'hp', 'teammate']"
209,"['hike', 'trail']"
210,"['include', 'element', 'system', 'user', 'need', 'interact', 'work', 'task']"
211,"['sprint', 'contribution', 'commits']"
212,"['download', 'complete', 'assignment', 'template', 'submit', 'google', 'doc']"
213,"['cross', 'list', 'ally', 'course', 'accessibility', 'report', 'medium', 'gallery', 'chat', 'udoit', 'accessibility', 'check', 'setting']"
214,"['issue', 'report']"
215,"['focus', 'help', 'u', 'understand', 'people', 'interested', 'bunch', 'statistic', 'answer', 'question', 'list', 'item', 'presentation', 'deadline', 'may', 'finish', 'goal', 'make', 'u', 'feel', 'like', 'know', 'persona', 'feel', 'person']"
216,['rubric']
217,"['question', 'answer', 'least', 'two', 'sentence', 'vague']"
218,"['instruction', 'team', 'meet', 'discuss', 'need', 'microservice']"
219,"['miss', 'commit', 'url', 'url', 'work', 'correct']"
220,"['use', 'case', 'underserved', 'person', 'transform', 'sentence', 'paragraph', 'example', 'underserved', 'person', 'car', 'seat', 'back', 'seat', 'parent', 'drive', 'think', 'car', 'hot', 'turn', 'air', 'conditioner', 'adjust', 'temperature', 'something', 'like']"
221,"['overview', 'implement', 'mvp']"
222,"['example', 'conduct', 'interview', 'list', 'question', 'collect', 'data', 'set', 'triangulation', 'etc']"
223,"['list', 'question']"
224,"['sprint', 'contribution', 'commits']"
225,"['see', 'scrum', 'guide']"
226,"['discuss', 'sprint', 'go', 'term', 'communication']"
227,"['post', 'complete', 'assignment']"
228,"['edit', 'criterion', 'description']"
229,"['want', 'create', 'team', 'choose', 'one', 'exactly', 'five', 'people', 'decide', 'team', 'name']"
230,"['research', 'question', 'goal', 'initially', 'derive', 'p', 'proposal']"
231,"['b', 'sketch', 'beginning', 'low', 'fidelity', 'prototype', 'ie', 'sketch', 'screen', 'transition', 'diagram', 'develop', 'satisfy', 'use', 'case', 'pencil', 'fine', 'go', 'computer', 'art', 'yet', 'see', 'figure', 'example', 'screen', 'transition', 'draw', 'prototype', 'would', 'pencil', 'rough', 'polish', 'like', 'one']"
232,"['e', 'provide', 'screenshot', 'least', 'one', 'definition', 'do', 'task', 'management', 'system']"
233,"['use', 'project', 'system', 'describe', 'task', 'would', 'user', 'perform', 'observe']"
234,"['q', 'peer', 'review', 'design', 'evaluate', 'time', 'u', 'revise']"
235,"['source', 'data', 'instead', 'write', 'assumption', 'want', 'use', 'mainstreamer']"
236,"['describe', 'task', 'use', 'project', 'system', 'ask', 'user', 'observation']"
237,"['observation', 'interview', 'pricpe']"
238,"['example', 'underserved', 'example', 'try', 'make', 'sense', 'long', 'document']"
239,"['make', 'u', 'feel', 'like', 'know', 'personality', 'feel', 'person']"
240,"['emotion', 'purpose', 'reaction', 'seem', 'field', 'interview', 'say']"
241,"['submit', 'individual', 'format', 'simply', 'complete', 'form']"
242,"['view', 'long', 'description']"
243,"['work', 'together', 'divide', 'conquer']"
244,"['one', 'person', 'post', 'answer']"
245,"['sprint', 'contribution', 'code']"
246,"['second', 'software', 'problem', 'solve', 'complete', 'list', 'project', 'use', 'case', 'talk']"
247,"['txt', 'erase', 'write', 'image', 'path']"
248,"['multiple', 'acceptance', 'criterion', 'satisfied']"
249,"['video', 'show', 'ui', 'write', 'word', 'run', 'prng', 'service']"
250,"['facet', 'value', 'match', 'facet', 'describe', 'least', 'one', 'sentence', 'one', 'facet']"
251,"['focus', 'help', 'u', 'understand', 'people', 'care', 'lot', 'statistic']"
252,"['post', 'agree', 'contribute', 'retrospective']"
253,['information']
254,"['user', 'interface', 'really', 'great', 'different', 'thing', 'could', 'make', 'good', 'site', 'think', 'project', 'think', 'could', 'make', 'good', 'base', 'site', 'see', 'use', 'key', 'feature', 'optional', 'feature', 'give']"
255,"['everything', 'due', 'see', 'assignment', 'due', 'date']"
256,"['paper', 'prototypes', 'usability', 'evaluation']"
257,"['structure', 'meeting']"
258,"['example', 'user', 'suppose', 'student', 'find', 'doctor', 'observe', 'field', 'interview', 'student', 'look', 'doctor', 'specific', 'problem', 'sear', 'tooth', 'pain', 'user', 'suppose', 'individual', 'look', 'recycle', 'specific', 'item', 'observe', 'field', 'interview', 'recyclers', 'difficulty', 'find', 'right', 'venue', 'etc', 'addition', 'may', 'want', 'include', 'form', 'research', 'web', 'research', 'additional', 'concept', 'idea', 'grade', 'form', 'research']"
259,"['three', 'use', 'case', 'support', 'underserved', 'population', 'commitment', 'prototype', 'must', 'meet', 'support', 'must', 'large', 'task', 'trivial', 'task']"
260,"['b', 'create', 'initial', 'sketch', 'low', 'fidelity', 'prototype', 'sketch', 'screen', 'transition', 'diagram', 'develop', 'prototype', 'meet', 'use', 'case']"
261,"['grader', 'convince', 'individual', 'project', 'teammate', 'service', 'run', 'different', 'process']"
262,"['name', 'pannapat', 'one', 'fall', 'term', 'originally', 'thailand', 'ph', 'student', 'computer', 'science', 'osu', 'hope', 'support', 'course', 'please', 'feel', 'free', 'reach', 'office', 'hour']"
263,"['get', 'know', 'teammate']"
264,"['assign', 'substantially', 'less', 'work', 'teammate', 'degree', 'explain', 'difference', 'experience', 'busy', 'ness', 'multiple', 'task', 'subtasks', 'miss', 'duedates']"
265,[]
266,"['two', 'facet', 'value']"
267,"['late', 'penalty', 'etc']"
268,"['previous', 'peer', 'review', 'heuristic', 'evaluation']"
269,"['individually', 'turn', 'honest', 'assessment', 'much', 'assignment']"
270,"['choose', 'one', 'following', 'get', 'special', 'permission', 'burnett', 'another', 'marginalized', 'population', 'prefer', 'first', 'come', 'first', 'serve']"
271,"['various', 'activity', 'c']"
272,"['concept', 'persona', 'facet', 'underserved', 'population', 'set', 'concept', 'sketch', 'clearly', 'label', 'facet', 'feature', 'space', 'try', 'brainstorm']"
273,"['clearly', 'state', 'sprint', 'goal', 'least', 'one', 'sentence']"
274,"['make', 'usable', 'people', 'understand', 'use', 'software', 'without', 'make', 'lot', 'mistake', 'get', 'frustrate', 'want', 'people', 'enjoy', 'software']"
275,"['b', 'list', 'facet', 'e', 'facet', 'type', 'settle', 'case', 'read', 'snapshot', 'somehow', 'pertinent', 'population', 'ability', 'ultimately', 'gain', 'useful', 'benefit', 'software', 'prototype', 'example', 'curliness', 'hair', 'would', 'pertinent', 'facet', 'type', 'unless', 'software', 'connection', 'person', 'hair', 'curliness']"
276,"['first', 'sign', 'osu', 'account', 'access', 'word', 'document']"
277,"['point', 'task', 'describe', 'task', 'use', 'project', 'system', 'would', 'ask', 'user', 'perform', 'observation']"
278,"['jump', 'content']"
279,"['regardless', 'whether', 'find', 'team', 'fill', 'team', 'registration', 'form']"
280,"['mozilla', 'bug', 'write', 'guideline']"
281,"['already', 'rat', 'student', 'rubric', 'major', 'change', 'could', 'affect', 'assessment', 'result']"
282,"['rating', 'max', 'score']"
283,"['provide', 'context', 'feature', 'rough', 'sketch', 'page']"
284,['pt']
285,"['docx', 'use', 'template', 'optional', 'post', 'complete', 'assignment', 'post', 'say', 'agree', 'diagram', 'see', 'additional', 'resource', 'diagramming', 'tool', 'uml', 'portion', 'assignment', 'visual', 'paradigm', 'lucidchart']"
286,"['write', 'least', 'paragraph', 'experience', 'get', 'transition', 'apprenticeship', 'question', 'others', 'get', 'transition', 'apprenticeship']"
287,"['want', 'create', 'team', 'choose', 'one', 'exactly', 'five', 'people', 'decide', 'team', 'name']"
288,"['rest', 'gestation', 'persona', 'foundation', 'concept']"
289,"['look', 'like', 'figure', 'c', 'c', 'question', 'figure', 'c', 'come', 'figure', 'aim', 'solve', 'case', 'refer', 'persona', 'look', 'like', 'right', 'come', 'question', 'along', 'problem', 'invent', 'use', 'bullet', 'pp', 'note', 'figure', 'c', 'show', 'place', 'find', 'think', 'might', 'useful', 'stage', 'read', 'yet', 'decide', 'whether', 'use', 'note', 'literature', 'search', 'assignment', 'pretend', 'know', 'source', 'look', 'literature', 'search', 'happen', 'later', 'course']"
290,"['answer', 'three', 'question', 'last', 'status', 'update', 'plan', 'next', 'status', 'update', 'something', 'prevent', 'plan']"
291,['detail']
292,"['first', 'implementation', 'sprint']"
293,['rubric']
294,"['question', 'hesitate', 'ask']"
295,"['submit', 'complete', 'assignment']"
296,"['ui', 'design', 'initial', 'revision']"
297,"['regardless', 'whether', 'find', 'team', 'fill', 'team', 'registration', 'form']"
298,"['microservice', 'publicly', 'host', 'web', 'server', 'expect', 'teammate', 'run', 'locally', 'something', 'else', 'need', 'say', 'need']"
299,"['interview', 'emphasize', 'item', 'problem', 'encounter', 'activity', 'people', 'part', 'heavily', 'space', 'less', 'observation', 'need', 'rich', 'detail', 'interview', 'item', 'except', 'item', 'people', 'part']"
300,['instruction']
301,"['include', 'system', 'elements', 'user', 'must', 'interact', 'work', 'task']"
302,"['share', 'common']"
303,"['welcome', 'add', 'additional', 'feature', 'long', 'five', 'include']"
304,"['overview', 'get', 'give', 'mvp', 'feedback']"
305,"['answer', 'question', 'time', 'separate', 'day', 'status', 'update']"
306,"['also', 'team', 'member', 'must', 'participate', 'least', 'one', 'observation', 'interview']"
307,"['b', 'sketch', 'beginning', 'prototype', 'sketched', 'screen', 'transition', 'diagram', 'develop', 'satisfy', 'use', 'case']"
308,"['lack', 'five', 'quality']"
309,"['three', 'four', 'requirement', 'satisfy']"
310,"['would', 'feature', 'look']"
311,"['high', 'fidelity', 'use', 'figma']"
312,"['team', 'create', 'sprint', 'plan', 'start', 'coding']"
313,"['see', 'image', 'example', 'image', 'transition', 'screen', 'prototype', 'use', 'pencil', 'rough', 'polish', 'like']"
314,"['use', 'case', 'support', 'mainstreamer', 'spec']"
315,"['sample', 'turn', 'in', 'complete', 'spec', 'year']"
316,"['answer', 'research', 'question']"
317,"['question', 'please', 'feel', 'free', 'ask']"
318,"['instruction', 'team', 'meet', 'discuss', 'need', 'microservice']"
319,"['download', 'model', 'model']"
320,"['report', 'non', 'verbal', 'detail']"
321,"['answer', 'question', 'time', 'separate', 'day', 'zero', 'status', 'update']"
322,"['b', 'sketch', 'beginning', 'low', 'fidelity', 'prototype', 'sketch', 'screen', 'transition', 'diagram', 'explain', 'develop', 'meet', 'use', 'case', 'pencil', 'fine', 'computer', 'art', 'yet', 'see', 'illustration', 'example', 'screen', 'transition', 'draw', 'prototype', 'would', 'pencil', 'rough', 'quite', 'polish', 'one']"
323,"['software', 'project', 'pick', 'name', 'brief', 'description', 'project', 'paragraph', 'total']"
